System Date,7/8/2024 8:10,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address,,,,,,,,,,,,,,,,,
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3,,,,,,,,,,,,,,,,,
System,Subsystem 1,74,XT2640-045,1,JADEC,Xitron XT2640,192.168.1.151,,,,,,,,,,,,,,,,,
System,Subsystem 2,95,XT2640-066,1,JADEC,Xitron XT2640,192.168.1.152,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status,,,,,,,,,,,,,,
Additional Equipment,74,XT2640-045,2643AD1606009,Xitron XT2640,XITRON,XT2640,2/21/2024,2/21/2025,228,OK,,,,,,,,,,,,,,
Additional Equipment,95,XT2640-066,2643AD2103004,Xitron XT2640,XITRON,XT2640,3/1/2024,3/1/2025,236,OK,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,93,29072571,NI,9208,3,19076,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,97,28724572,NI,9208,1,19078,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,155,28912794,NI,9214,1,19086,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,229,29072578,NI,9208,2,19077,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,233,29072519,NI,9208,2,19079,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,243,29025558,NI,9425,7,19081,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,244,28724347,NI,9476,8,19082,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,246,29025749,NI,9425,5,19083,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,247,29026021,NI,9425,6,19084,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,248,28678324,NI,9476,7,19085,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,423,30652524,NI,9216,2,22330,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28520474,DAQ 2,1,424,30449159,NI,9216,3,22329,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,436,31014915,NI,9214,4,19087,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,571,28932682,NI,9208,1,19080,1/5/2024,1/5/2026,546,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,3599,34004033,NI,9216,5,22326,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,3600,34004026,NI,9216,6,22327,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,3601,34004024,NI,9216,7,22325,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28520354,DAQ 3,2,3602,34068419,NI,9216,8,22328,6/15/2024,12/15/2024,160,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,4617,34777069,NI,9265,3,19088,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,4618,34777073,NI,9265,6,19089,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,4619,34777156,NI,9265,5,19091,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
Collection Hardware,WC1200,28918155,DAQ 1,-1,4620,34777158,NI,9265,4,19090,1/5/2024,1/5/2025,181,OK,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Report Type,System (Eng. Tag),Engineering Tag ID,Engineering Tag Name,System (HW Tag),Hardware Channel Tag ID,Hardware Channel Tag Name,Caption,Type,Active,Scan Enabled,Logging Enabled,HW Min,HW Max,HW Units,SW Units,Process Interface ID,Serial Number,Type,Manufacturer,Model,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Process Interfaces,N/A,N/A,N/A,WC1200,7026,CTRL-LOOP-01_OUTPUT_CW-P1,Control Loop 1 CW-P1 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1738,WC1200_CW-P1,Pump,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7031,COND_WTR_E_TOTAL_FLOW,WC1200,7029,COND_WTR_E_FLOW_FT-CW-1A,Cond Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1727,14653234_14653225,Flow,Rosemount,,2/27/2024,2/27/2026,599,OK
Process Interfaces,WC1200,7031,COND_WTR_E_TOTAL_FLOW,WC1200,7030,COND_WTR_E_FLOW_FT-CW-1B,Cond Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1730,14731924_14731857,Flow,Rosemount,,2/27/2024,2/27/2026,599,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7040,CTRL-LOOP-03_AUTO_SP_TCV-CH-5B,Control Loop 3 TCV-CH-5B Auto Setpoint,AI,TRUE,TRUE,TRUE,#NAME?,Inf,%,degF,1775,WC1200_LOOP-03_AUTO-SP,Loop,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7042,CTRL-LOOP_OUTPUT_TCV-CH-5B,Control Loop TCV-CH-5B Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1721,WC1200_TCV-CH-5B,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7043,CTRL-LOOP-03_PV_COND_WTR_E_TEMP,WC1200,7049,COND_WTR_E_TEMP_TET-CW-1A,Cond Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1752,M304B323,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7057,CTRL-LOOP-05_OUTPUT_FCV-CW-4,Control Loop 5 FCV-CW-4 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1717,WC1200_FCV-CW-4,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7063,CTRL-LOOP-06_OUTPUT_TCV-CW-2,Control Loop 6 TCV-CW-2 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1722,WC1200_TCV-CW-2,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7069,CTRL-LOOP-07_OUTPUT_EW-P1,Control Loop 7 EW-P1,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1739,WC1200_EW-P1,Pump,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7074,EVAP_WTR_E_TOTAL_FLOW,WC1200,7072,EVAP_WTR_E_FLOW_FT-EW-1A,EVAP Water Entering Flow 1A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1726,14653233_14653224,Flow,Rosemount,,2/29/2024,2/28/2026,600,OK
Process Interfaces,WC1200,7074,EVAP_WTR_E_TOTAL_FLOW,WC1200,7073,EVAP_WTR_E_FLOW_FT-EW-1B,EVAP Water Entering Flow 1B,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1729,14653355_14653320,Flow,Rosemount,,2/29/2024,2/28/2026,600,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7083,CTRL-LOOP-09_AUTO_SP_TCV-CW-3B,Control Loop 9 TCV-CW-3B Auto Setpoint,AI,TRUE,TRUE,TRUE,#NAME?,Inf,%,degF,1776,WC1200_LOOP-09_AUTO-SP,Loop,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7085,CTRL-LOOP_OUTPUT_TCV-CW-3B,Control Loop TCV-CW-3B Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1724,WC1200_TCV-CW-3B,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7086,CTRL-LOOP-09_PV_EVAP_WTR_E_TEMP,WC1200,7092,EVAP_WTR_E_TEMP_TET-EW-1A,Evap Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1748,M3049423,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7106,CTRL-LOOP-12_OUTPUT_FCV-EW-1,Control Loop 12 FCV-EW-1 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1718,WC1200_FCV-EW-1,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7112,CTRL-LOOP-13_OUTPUT_FCV-EW-7,Control Loop 13 FCV-EW-7 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1719,WC1200_FCV-EW-7,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7122,CTRL-LOOP-15_AUTO_SP_FCV-CH-6,Control Loop 15 FCV-CH-6 Auto Setpoint,AI,TRUE,TRUE,TRUE,#NAME?,Inf,%,degF,1777,WC1200_LOOP-15_AUTO-SP,Loop,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7136,CTRL-LOOP-17_PV_OUTPUT_FCV-CH-6,WC1200,7124,CTRL-LOOP_OUTPUT_FCV-CH-6,Control Loop FCV-CH-6 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1716,WC1200_FCV-CH-6,Valve,FISHER,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7135,CTRL-LOOP-17_OUTPUT_CH-P1,Control Loop 17 CH-P1 Output,AO,TRUE,TRUE,TRUE,0.003,0.021,mA,%,1737,WC1200_CH-P1,Pump,,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7125,CTRL-LOOP-15_PV_CH_WTR_FLOW,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2/28/2024,2/28/2026,600,OK
Process Interfaces,WC1200,7393,AUX_COOLING_CAPACITY,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2/28/2024,2/28/2026,600,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7139,CH_WTR_E_FLOW_FT-CH-2,Plant Chilled Water Supply Flow,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,gpm,1728,14653351_14653318,Flow,Rosemount,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7140,CH_WTR_E_TEMP_TET-CH-1,Plant Chilled Water Supply Temp,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1746,M3040E23,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7143,CH_WTR_L_TEMP_TET-CH-4,Plant Chilled Water Return Temp,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1741,M303F323,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7146,COND_WTR_E_TEMP_TET-CW-4A,Cond Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1750,M304A923,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7150,EVAP_WTR_E_TEMP_TET-EW-4A,Evap Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,degF,1744,M303FC23,RTD,Pyromation,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7386,COND_PUMP_DIFF_PRESS_CW-P1,WC1200,7152,COND_WTR_PRESS_PT-CW-1,Cond Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psi,1735,1A00I2WI72G,Pressure,WIKA,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7153,COND_WTR_PRESS_PT-CW-2,Cond Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psi,1732,1A00F0U3J2A,Pressure,WIKA,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7386,COND_PUMP_DIFF_PRESS_CW-P1,WC1200,7154,COND_WTR_PRESS_PT-CW-3,Cond Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psi,1734,1A00F0UDPIR,Pressure,WIKA,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7387,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1200,7155,EVAP_WTR_PRESS_PT-EW-1,Evap Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psi,22161,EA20274,Pressure,Keller,,1/1/2023,1/1/2030,2003,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7156,EVAP_WTR_PRESS_PT-EW-2,Evap Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psi,1731,1A00F0U2HI8,Pressure,WIKA,,1/1/2018,1/1/2118,34144,OK
Process Interfaces,WC1200,7387,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1200,7157,EVAP_WTR_PRESS_PT-EW-3,Evap Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psig,22178,EA22197,Pressure,Keller,,1/1/2023,1/1/2030,2003,OK
Process Interfaces,WC1200,41422,EVAP_SYS01_RVAP_TOP_PRESS_01,WC1200,7258,DAQ3A_AI_001,DAQ3A Current Input 1,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psia,7921,460445,Pressure,Omega,,4/24/2024,10/24/2024,108,OK
Process Interfaces,WC1200,41423,COND_SYS01_RVAP_TOP_PRESS_01,WC1200,7259,DAQ3A_AI_002,DAQ3A Current Input 2,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psia,17650,532127,Pressure,Omega,,4/24/2024,10/24/2024,108,OK
Process Interfaces,WC1200,19057,OIL_SYS01_OIL_PUMP_PRESS_01,WC1200,7260,DAQ3A_AI_003,DAQ3A Current Input 3,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psia,14332,460437,Pressure,Omega,,4/24/2024,10/24/2024,108,OK
Process Interfaces,WC1200,26260,OIL_SYS02_OIL_PUMP_PRESS_01,WC1200,7261,DAQ3A_AI_004,DAQ3A Current Input 4,AI,TRUE,TRUE,TRUE,0.003,0.021,mA,psia,17651,532132,Pressure,Omega,,4/24/2024,10/24/2024,108,OK
